ROC TRACON FLOW           N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
- RWY 4                   N000.00.00.000 E000.00.00.000 N000.00.00.000 E000.00.00.000
                          N042.35.29.945 W078.09.30.143 N042.34.10.561 W078.13.08.712
                          N043.08.24.422 W076.53.23.989 N043.07.54.772 W076.53.22.115
                          N042.53.34.997 W076.52.38.717 N042.53.03.700 W076.52.36.877
                          N042.57.27.570 W076.52.50.544 N042.54.09.583 W076.52.40.068
                          N042.58.31.475 W076.52.53.768 N042.58.01.825 W076.52.51.902
                          N042.52.25.816 W076.52.35.121 N042.50.49.951 W076.52.30.080
                          N043.20.14.937 W076.54.00.035 N043.18.51.267 W076.53.55.752
                          N043.20.39.735 W076.51.03.403 N043.20.45.050 W076.50.23.629
                          N043.20.14.934 W076.54.00.120 N043.20.33.154 W076.51.50.863
                          N043.20.51.630 W076.49.37.518 N043.21.16.103 W076.46.41.657
                          N043.21.47.380 W076.46.43.448 N043.21.16.103 W076.46.41.657
                          N043.22.46.739 W076.46.46.850 N043.22.16.201 W076.46.45.101
                          N043.26.02.893 W076.46.56.009 N043.23.11.838 W076.46.47.942
                          N042.36.30.201 W076.48.09.976 N042.35.03.051 W076.49.26.556
                          N042.47.47.946 W076.42.01.435 N042.47.29.969 W076.41.00.008
                          N042.47.29.969 W076.41.00.008 N042.46.08.522 W076.38.10.161
                          N042.22.58.297 W077.35.48.475 N042.23.44.685 W077.34.44.006
                          N042.30.13.158 W077.25.44.070 N042.30.59.452 W077.24.39.349
                          N042.52.49.735 W078.10.06.207 N042.52.24.388 W078.06.04.234
                          N042.44.15.207 W078.10.41.337 N042.45.06.574 W078.06.47.620
                          N042.41.35.148 W078.10.44.476 N042.39.52.932 W078.07.23.728
                          N043.16.50.503 W076.55.49.033 N043.16.11.360 W076.51.48.871
                          N042.31.52.667 W077.50.31.698 N042.30.48.086 W077.50.54.662
                          N042.28.12.560 W077.51.50.693 N042.25.18.571 W077.52.53.251
                          N042.31.39.416 W077.51.20.190 N042.31.01.332 W077.50.06.179
                          N042.23.40.452 W077.35.52.872 N042.23.02.201 W077.34.39.177
                          N042.22.00.841 W077.32.41.142 N042.20.17.840 W077.29.22.488
                          N042.26.20.986 W077.21.07.083 N042.28.47.563 W077.23.27.817
                          N042.30.09.412 W077.24.45.782 N042.31.03.531 W077.25.38.092
                          N042.37.35.316 W077.15.26.557 N042.38.21.511 W077.14.21.579
                          N042.38.14.858 W077.15.33.432 N042.37.42.297 W077.14.15.158
                          N042.36.53.775 W077.12.20.910 N042.35.25.270 W077.08.49.423
                          N042.31.59.900 W077.00.42.230 N042.31.26.844 W076.59.24.221
                          N042.31.09.958 W077.00.04.915 N042.32.16.458 W077.00.01.533
                          N042.51.20.983 W076.54.18.449 N042.52.54.384 W076.50.49.527
                          N042.49.01.337 W076.50.18.612 N042.48.55.542 W076.46.14.457
                          N042.49.30.396 W076.59.43.709 N042.48.56.347 W076.58.26.246
                          N042.43.19.750 W076.45.46.701 N042.41.47.153 W076.42.18.213
                          N042.37.27.234 W076.59.44.378 N042.40.26.980 W076.59.34.406
                          N042.48.40.126 W076.59.07.128 N042.49.46.622 W076.59.03.266
                          N043.08.36.437 W076.55.27.953 N043.08.43.010 W076.51.22.333
                          N043.10.18.670 W077.46.58.348 N043.09.48.440 W077.45.49.918
                          N043.08.45.644 W077.43.27.714 N043.08.15.054 W077.42.17.542
                          N043.23.59.976 W078.00.00.224 N043.21.46.316 W077.57.52.681
                          N043.19.19.148 W077.55.32.157 N043.17.41.225 W077.53.58.879
                          N043.15.14.961 W077.51.39.569 N043.13.34.357 W077.50.03.790
                          N043.10.32.812 W077.47.11.873 N043.10.18.670 W077.46.58.348
                          N042.32.19.014 W077.17.50.683 N042.31.14.033 W077.17.18.570
                          N042.35.58.339 W077.19.39.036 N042.34.09.176 W077.18.45.276
                          N042.40.39.955 W077.21.58.532 N042.38.49.821 W077.21.04.195
                          N042.45.20.864 W077.24.18.386 N042.43.33.057 W077.23.24.794
                          N042.50.03.371 W077.26.39.032 N042.48.12.618 W077.25.43.974
                          N042.59.29.221 W077.31.21.845 N042.57.45.756 W077.30.30.076
                          N042.54.45.828 W077.29.00.485 N042.52.54.435 W077.28.04.839
                          N043.09.54.820 W077.19.46.345 N043.10.16.071 W077.19.51.974
                          N043.10.16.071 W077.19.51.974 N043.10.37.218 W077.19.58.300
                          N043.10.37.218 W077.19.58.300 N043.10.58.243 W077.20.05.319
                          N043.14.40.840 W077.22.08.862 N043.14.58.182 W077.22.22.787
                          N043.14.58.182 W077.22.22.787 N043.15.15.294 W077.22.37.243
                          N043.15.15.294 W077.22.37.243 N043.15.32.163 W077.22.52.216
                          N043.18.31.764 W077.26.27.892 N043.18.45.300 W077.26.49.644
                          N043.18.45.300 W077.26.49.644 N043.18.58.461 W077.27.11.824
                          N043.18.58.461 W077.27.11.824 N043.19.11.242 W077.27.34.417
                          N043.21.08.780 W077.32.19.663 N043.21.16.166 W077.32.45.844
                          N043.21.16.166 W077.32.45.844 N043.21.23.113 W077.33.12.249
                          N043.21.23.113 W077.33.12.249 N043.21.29.617 W077.33.38.867
                          N043.22.12.080 W077.39.04.396 N043.22.12.684 W077.39.30.791
                          N043.22.12.684 W077.39.30.791 N043.22.12.873 W077.39.57.196
                          N043.22.12.873 W077.39.57.196 N043.22.12.647 W077.40.23.599
                          N043.22.12.647 W077.40.23.599 N043.22.12.647 W077.40.23.599
                          N043.21.34.613 W077.45.51.285 N043.21.28.283 W077.46.18.842
                          N043.21.28.283 W077.46.18.842 N043.21.21.486 W077.46.46.184
                          N043.21.21.486 W077.46.46.184 N043.21.14.223 W077.47.13.302
                          N043.19.20.572 W077.52.00.456 N043.19.08.575 W077.52.22.466
                          N043.19.08.575 W077.52.22.466 N043.18.56.223 W077.52.44.103
                          N043.18.56.223 W077.52.44.103 N043.18.43.522 W077.53.05.355
                          N043.38.17.092 W078.26.56.519 N043.38.17.161 W078.26.46.095
                          N043.38.19.376 W078.20.00.383 N043.38.19.436 W078.19.49.956
                          N043.38.20.894 W078.13.07.860 N043.38.20.945 W078.12.57.434
                          N043.38.22.372 W078.06.06.267 N043.38.22.412 W078.05.55.841
                          N043.38.23.723 W077.59.14.646 N043.38.23.750 W077.59.04.220
                          N043.38.24.027 W077.52.12.591 N043.38.24.044 W077.52.02.165
                          N043.38.24.223 W077.45.19.603 N043.38.24.231 W077.45.09.177
                          N043.38.24.341 W077.38.18.002 N043.38.24.338 W077.38.07.576
                          N043.38.22.667 W077.24.29.764 N043.38.22.645 W077.24.19.338
                          N043.38.21.555 W077.17.39.956 N043.38.21.521 W077.17.29.530
                          N043.38.19.317 W077.10.34.292 N043.38.19.270 W077.10.23.866
                          N043.38.14.957 W076.56.40.658 N043.38.14.893 W076.56.30.231
                          N043.38.11.859 W076.49.48.618 N043.38.11.782 W076.49.38.194
                          N043.38.23.712 W077.31.26.376 N043.38.23.699 W077.31.15.949
                          N043.38.17.374 W077.03.43.136 N043.38.17.318 W077.03.32.258
                          N043.18.19.472 W076.49.33.285 N043.18.11.637 W076.49.42.409
                          N043.18.11.637 W076.49.42.409 N043.17.43.531 W076.49.26.563
                          N043.17.43.531 W076.49.26.563 N043.17.18.397 W076.49.11.582
                          N043.17.18.397 W076.49.11.582 N043.17.00.932 W076.49.10.020
                          N043.17.00.932 W076.49.10.020 N043.16.38.863 W076.49.08.972
                          N043.16.38.863 W076.49.08.972 N043.16.15.809 W076.49.08.387
                          N043.16.15.809 W076.49.08.387 N043.15.53.511 W076.49.21.311
                          N043.15.53.511 W076.49.21.311 N043.15.54.287 W076.49.37.521
                          N043.15.54.287 W076.49.37.521 N043.16.09.846 W076.49.48.574
                          N043.16.09.846 W076.49.48.574 N043.16.45.379 W076.49.44.487
                          N043.16.45.379 W076.49.44.487 N043.17.14.416 W076.49.52.655
                          N043.17.14.416 W076.49.52.655 N043.17.17.571 W076.50.19.207
                          N043.17.17.571 W076.50.19.207 N043.17.32.785 W076.50.28.469
                          N043.17.32.785 W076.50.28.469 N043.17.43.918 W076.50.19.754
                          N043.17.43.918 W076.50.19.754 N043.17.44.089 W076.50.43.645
                          N043.17.44.089 W076.50.43.645 N043.17.53.960 W076.50.42.611
                          N043.17.53.960 W076.50.42.611 N043.18.06.396 W076.50.32.075
                          N043.18.06.396 W076.50.32.075 N043.18.22.025 W076.50.07.517
                          N043.18.19.472 W076.49.33.285 N043.18.32.386 W076.48.58.387
                          N043.18.32.386 W076.48.58.387 N043.18.34.402 W076.48.19.130
                          N043.18.34.402 W076.48.19.130 N043.18.44.958 W076.47.37.947
                          N043.18.44.958 W076.47.37.947 N043.19.07.275 W076.46.45.316
                          N043.19.07.275 W076.46.45.316 N043.19.16.532 W076.46.07.298
                          N043.19.16.532 W076.46.07.298 N043.19.35.438 W076.45.42.666
                          N043.19.35.438 W076.45.42.666 N043.19.44.780 W076.45.16.365
                          N043.19.44.780 W076.45.16.365 N043.20.10.856 W076.44.43.048
                          N043.20.10.856 W076.44.43.048 N043.20.32.281 W076.44.04.829
                          N043.20.32.281 W076.44.04.829 N043.20.34.442 W076.43.46.749
                          N043.20.34.442 W076.43.46.749 N043.20.43.656 W076.43.06.002
                          N043.20.43.656 W076.43.06.002 N043.20.37.689 W076.43.01.131
                          N043.20.37.689 W076.43.01.131 N043.20.18.702 W076.43.14.508
                          N043.20.18.702 W076.43.14.508 N043.19.46.092 W076.43.13.206
                          N043.19.46.092 W076.43.13.206 N043.19.40.232 W076.43.21.414
                          N043.19.40.232 W076.43.21.414 N043.19.23.453 W076.43.23.476
                          N043.19.23.453 W076.43.23.476 N043.19.02.014 W076.43.18.845
                          N043.19.02.014 W076.43.18.845 N043.19.01.930 W076.43.08.924
                          N043.19.01.930 W076.43.08.924 N043.19.13.692 W076.42.57.468
                          N043.19.13.692 W076.42.57.468 N043.19.31.760 W076.42.52.228
                          N043.19.31.760 W076.42.52.228 N043.19.41.239 W076.42.43.961
                          N043.19.41.239 W076.42.43.961 N043.19.49.388 W076.42.33.910
                          N043.19.49.388 W076.42.33.910 N043.20.07.539 W076.42.38.591
                          N043.20.07.539 W076.42.38.591 N043.20.25.304 W076.42.36.510
                          N043.20.25.304 W076.42.36.510 N043.20.34.727 W076.42.21.474
                          N043.20.34.727 W076.42.21.474 N043.21.09.215 W076.41.31.750
                          N043.21.09.215 W076.41.31.750 N043.21.35.170 W076.40.46.208
                          N043.21.35.170 W076.40.46.208 N043.22.22.513 W076.39.59.405
                          N043.22.22.513 W076.39.59.405 N043.23.07.661 W076.39.25.711
                          N043.23.07.661 W076.39.25.711 N043.24.04.843 W076.38.35.544
                          N043.24.04.843 W076.38.35.544 N043.24.49.864 W076.37.48.722
                          N043.24.49.864 W076.37.48.722 N043.25.28.708 W076.36.34.878
                          N043.25.28.708 W076.36.34.878 N043.25.35.433 W076.36.13.979
                          N043.19.12.598 W077.42.53.595 N043.19.05.680 W077.43.01.256
                          N043.19.05.680 W077.43.01.256 N043.19.00.728 W077.43.26.053
                          N043.19.00.728 W077.43.26.053 N043.18.55.444 W077.43.53.556
                          N043.18.55.444 W077.43.53.556 N043.18.49.511 W077.44.04.371
                          N043.18.49.511 W077.44.04.371 N043.18.39.619 W077.44.26.455
                          N043.18.39.619 W077.44.26.455 N043.18.38.620 W077.44.45.842
                          N043.18.38.620 W077.44.45.842 N043.18.33.341 W077.45.00.715
                          N043.18.33.341 W077.45.00.715 N043.18.27.404 W077.45.14.683
                          N043.18.27.404 W077.45.14.683 N043.18.27.386 W077.45.36.777
                          N043.18.27.386 W077.45.36.777 N043.18.26.377 W077.46.01.572
                          N043.18.26.377 W077.46.01.572 N043.18.19.139 W077.45.54.799
                          N043.18.19.139 W077.45.54.799 N043.18.20.481 W077.45.25.495
                          N043.18.20.481 W077.45.25.495 N043.18.17.192 W077.45.18.727
                          N043.18.17.192 W077.45.18.727 N043.18.11.259 W077.45.26.833
                          N043.18.11.259 W077.45.26.833 N043.18.06.328 W077.45.17.358
                          N043.18.06.328 W077.45.17.358 N043.18.08.319 W077.44.56.623
                          N043.18.08.319 W077.44.56.623 N043.18.12.277 W077.44.48.512
                          N043.18.12.277 W077.44.48.512 N043.18.25.446 W077.44.51.235
                          N043.18.25.446 W077.44.51.235 N043.18.28.418 W077.44.38.614
                          N043.18.28.418 W077.44.38.614 N043.18.32.386 W077.44.11.116
                          N043.18.32.386 W077.44.11.116 N043.18.39.643 W077.43.50.833
                          N043.18.39.643 W077.43.50.833 N043.18.45.580 W077.43.32.802
                          N043.18.45.580 W077.43.32.802 N043.18.46.573 W077.43.22.883
                          N043.18.46.573 W077.43.22.883 N043.18.41.306 W077.43.16.567
                          N043.19.46.604 W078.46.06.530 N043.19.50.773 W078.45.43.599
                          N043.19.50.773 W078.45.43.599 N043.20.00.864 W078.44.46.490
                          N043.20.00.864 W078.44.46.490 N043.20.15.948 W078.43.42.695
                          N043.20.15.948 W078.43.42.695 N043.20.21.408 W078.42.09.402
                          N043.20.21.408 W078.42.09.402 N043.20.25.367 W078.41.32.024
                          N043.20.25.367 W078.41.32.024 N043.20.40.246 W078.40.48.056
                          N043.20.40.246 W078.40.48.056 N043.20.51.140 W078.40.07.178
                          N043.20.51.140 W078.40.07.178 N043.21.06.053 W078.39.18.238
                          N043.21.06.053 W078.39.18.238 N043.21.18.255 W078.38.37.368
                          N043.21.18.255 W078.38.37.368 N043.21.32.384 W078.37.22.683
                          N043.21.32.384 W078.37.22.683 N043.21.41.460 W078.36.20.545
                          N043.21.41.460 W078.36.20.545 N043.21.48.971 W078.35.06.644
                          N043.21.48.971 W078.35.06.644 N043.22.03.977 W078.34.01.423
                          N043.22.03.977 W078.34.01.423 N043.22.12.779 W078.32.47.529
                          N043.22.12.779 W078.32.47.529 N043.22.18.229 W078.31.40.353
                          N043.22.18.229 W078.31.40.353 N043.22.20.044 W078.30.33.123
                          N043.22.20.044 W078.30.33.123 N043.22.21.354 W078.29.48.907
                          N043.22.21.354 W078.29.48.907 N043.22.28.808 W078.29.19.666
                          N043.22.28.808 W078.29.19.666 N043.22.17.096 W078.28.59.650
                          N043.22.17.096 W078.28.59.650 N043.22.07.720 W078.28.35.152
                          N043.22.07.720 W078.28.35.152 N043.22.10.222 W078.28.07.201
                          N043.22.10.222 W078.28.07.201 N043.22.16.589 W078.27.03.190
                          N043.22.16.589 W078.27.03.190 N043.22.19.227 W078.26.14.022
                          N043.22.19.227 W078.26.14.022 N043.22.26.970 W078.24.58.741
                          N043.22.26.970 W078.24.58.741 N043.22.34.647 W078.23.51.576
                          N043.22.34.647 W078.23.51.576 N043.22.36.292 W078.22.59.232
                          N043.22.36.292 W078.22.59.232 N043.22.25.842 W078.21.51.853
                          N043.22.25.842 W078.21.51.853 N043.22.19.053 W078.20.35.947
                          N043.22.19.053 W078.20.35.947 N043.22.15.809 W078.19.30.463
                          N043.22.15.809 W078.19.30.463 N043.22.20.945 W078.18.56.215
                          N043.22.20.945 W078.18.56.215 N043.22.18.579 W078.18.08.345
                          N043.22.18.579 W078.18.08.345 N043.22.18.856 W078.17.17.794
                          N043.22.18.856 W078.17.17.794 N043.22.10.796 W078.16.45.669
                          N043.22.10.796 W078.16.45.669 N043.22.17.066 W078.15.39.831
                          N043.22.17.066 W078.15.39.831 N043.22.05.533 W078.14.37.435
                          N043.22.05.533 W078.14.37.435 N043.22.02.056 W078.14.08.066
                          N043.22.02.056 W078.14.08.066 N043.22.10.921 W078.13.05.864
                          N043.22.10.921 W078.13.05.864 N043.22.14.701 W078.12.32.949
                          N043.22.14.701 W078.12.32.949 N043.22.11.407 W078.11.22.510
                          N043.22.11.407 W078.11.22.510 N043.22.10.273 W078.10.41.429
                          N043.22.10.273 W078.10.41.429 N043.22.23.582 W078.10.10.395
                          N043.22.23.582 W078.10.10.395 N043.22.27.410 W078.09.22.581
                          N043.22.27.410 W078.09.22.581 N043.22.27.692 W078.08.15.329
                          N043.22.27.692 W078.08.15.329 N043.22.29.375 W078.06.43.711
                          N043.22.29.375 W078.06.43.711 N043.22.27.052 W078.05.21.544
                          N043.22.27.052 W078.05.21.544 N043.22.14.087 W078.04.24.134
                          N043.22.14.087 W078.04.24.134 N043.22.14.249 W078.03.38.098
                          N043.22.14.249 W078.03.38.098 N043.22.10.831 W078.02.37.596
                          N043.22.10.831 W078.02.37.596 N043.21.59.140 W078.01.46.523
                          N043.21.59.140 W078.01.46.523 N043.22.04.234 W078.00.57.360
                          N043.22.04.234 W078.00.57.360 N043.22.03.019 W078.00.23.052
                          N043.22.03.019 W078.00.23.052 N043.21.52.266 W077.59.45.084
                          N043.21.52.266 W077.59.45.084 N043.21.55.998 W077.59.05.840
                          N043.21.55.998 W077.59.05.840 N043.22.05.614 W077.58.41.068
                          N043.22.05.614 W077.58.41.068 N043.21.53.821 W077.58.17.991
                          N043.21.53.821 W077.58.17.991 N043.21.57.538 W077.57.41.904
                          N043.21.57.538 W077.57.41.904 N043.21.46.781 W077.56.59.430
                          N043.21.46.781 W077.56.59.430 N043.21.27.822 W077.56.02.035
                          N043.21.27.822 W077.56.02.035 N043.21.25.633 W077.55.11.035
                          N043.21.25.633 W077.55.11.035 N043.21.23.058 W077.54.43.046
                          N043.21.23.058 W077.54.43.046 N043.21.07.698 W077.53.48.840
                          N043.21.07.698 W077.53.48.840 N043.21.03.159 W077.53.11.825
                          N043.21.03.159 W077.53.11.825 N043.20.53.727 W077.52.09.528
                          N043.20.53.727 W077.52.09.528 N043.20.44.274 W077.51.12.199
                          N043.20.44.274 W077.51.12.199 N043.20.33.529 W077.49.55.023
                          N043.20.33.529 W077.49.55.023 N043.20.25.384 W077.48.52.745
                          N043.20.25.384 W077.48.52.745 N043.20.15.586 W077.47.47.312
                          N043.20.15.586 W077.47.47.312 N043.20.18.284 W077.46.45.065
                          N043.20.18.284 W077.46.45.065 N043.20.21.950 W077.46.00.412
                          N043.20.21.950 W077.46.00.412 N043.20.17.030 W077.45.39.202
                          N043.20.17.030 W077.45.39.202 N043.19.54.336 W077.45.04.886
                          N043.19.54.336 W077.45.04.886 N043.19.50.730 W077.44.43.683
                          N043.19.50.730 W077.44.43.683 N043.19.43.510 W077.44.03.982
                          N043.19.43.510 W077.44.03.982 N043.19.30.357 W077.43.37.809
                          N043.19.30.357 W077.43.37.809 N043.19.18.518 W077.43.05.325
                          N043.19.18.518 W077.43.05.325 N043.19.12.598 W077.42.53.595
                          N043.15.18.141 W077.36.16.071 N043.15.00.009 W077.35.37.800
                          N043.15.00.009 W077.35.37.800 N043.14.24.056 W077.34.11.368
                          N043.14.24.056 W077.34.11.368 N043.13.57.619 W077.32.33.238
                          N043.13.57.619 W077.32.33.238 N043.13.57.602 W077.32.16.576
                          N043.13.57.602 W077.32.16.576 N043.13.45.110 W077.32.34.613
                          N043.13.45.110 W077.32.34.613 N043.13.33.264 W077.32.42.742
                          N043.13.33.264 W077.32.42.742 N043.13.11.520 W077.32.31.529
                          N043.13.11.520 W077.32.31.529 N043.12.53.743 W077.32.34.714
                          N043.12.53.743 W077.32.34.714 N043.12.27.396 W077.32.29.817
                          N043.12.27.396 W077.32.29.817 N043.11.54.783 W077.32.18.630
                          N043.11.54.783 W077.32.18.630 N043.11.25.137 W077.32.06.989
                          N043.11.25.137 W077.32.06.989 N043.10.56.155 W077.32.02.552
                          N043.10.56.155 W077.32.02.552 N043.10.31.110 W077.31.44.610
                          N043.10.31.110 W077.31.44.610 N043.10.31.082 W077.31.23.013
                          N043.10.31.082 W077.31.23.013 N043.10.46.544 W077.31.09.929
                          N043.10.46.544 W077.31.09.929 N043.11.21.453 W077.31.14.797
                          N043.11.21.453 W077.31.14.797 N043.11.57.362 W077.31.29.566
                          N043.11.57.362 W077.31.29.566 N043.12.10.534 W077.31.29.535
                          N043.12.10.534 W077.31.29.535 N043.12.22.391 W077.31.32.660
                          N043.12.22.391 W077.31.32.660 N043.12.31.973 W077.32.00.548
                          N043.12.31.973 W077.32.00.548 N043.12.45.147 W077.32.05.471
                          N043.12.45.147 W077.32.05.471 N043.13.06.874 W077.31.58.672
                          N043.13.06.874 W077.31.58.672 N043.13.24.665 W077.32.08.539
                          N043.13.24.665 W077.32.08.539 N043.13.31.910 W077.32.10.324
                          N043.13.31.910 W077.32.10.324 N043.13.42.756 W077.31.50.490
                          N043.13.42.756 W077.31.50.490 N043.13.49.972 W077.31.27.508
                          N043.13.49.972 W077.31.27.508 N043.14.04.118 W077.31.17.567
                          N043.14.04.118 W077.31.17.567 N043.14.04.135 W077.31.32.428
                          N043.14.04.135 W077.31.32.428 N043.14.01.855 W077.31.52.249
                          N043.14.01.855 W077.31.52.249 N043.14.06.467 W077.31.53.589
                          N043.14.06.467 W077.31.53.589 N043.14.19.602 W077.31.24.286
                          N043.14.19.602 W077.31.24.286 N043.14.41.291 W077.30.51.357
                          N043.14.41.291 W077.30.51.357 N043.14.52.133 W077.30.31.961
                          N043.14.52.133 W077.30.31.961 N043.14.58.999 W077.29.57.258
                          N043.14.58.999 W077.29.57.258 N043.15.15.676 W077.28.41.982
                          N043.15.15.676 W077.28.41.982 N043.15.30.394 W077.27.43.819
                          N043.15.30.394 W077.27.43.819 N043.15.36.223 W077.26.49.738
                          N043.15.36.223 W077.26.49.738 N043.15.54.261 W077.26.13.628
                          N043.15.54.261 W077.26.13.628 N043.16.08.364 W077.25.45.638
                          N043.16.08.364 W077.25.45.638 N043.16.07.277 W077.24.57.879
                          N043.16.07.277 W077.24.57.879 N043.16.17.731 W077.24.20.437
                          N043.16.17.731 W077.24.20.437 N043.16.27.231 W077.23.59.217
                          N043.16.27.231 W077.23.59.217 N043.16.32.124 W077.23.39.367
                          N043.16.32.124 W077.23.39.367 N043.16.27.079 W077.22.55.227
                          N043.16.27.079 W077.22.55.227 N043.16.42.763 W077.22.07.383
                          N043.16.42.763 W077.22.07.383 N043.16.41.395 W077.21.48.012
                          N043.16.41.395 W077.21.48.012 N043.16.39.980 W077.21.11.966
                          N043.16.39.980 W077.21.11.966 N043.16.49.798 W077.20.48.932
                          N043.16.49.798 W077.20.48.932 N043.16.47.122 W077.20.34.073
                          N043.16.47.122 W077.20.34.073 N043.16.39.813 W077.20.11.128
                          N043.16.39.813 W077.20.11.128 N043.16.44.685 W077.19.48.566
                          N043.16.44.685 W077.19.48.566 N043.16.51.837 W077.19.17.431
                          N043.16.51.837 W077.19.17.431 N043.16.49.497 W077.19.05.727
                          N042.35.29.945 W078.09.30.143 N042.34.10.561 W078.13.08.712
                          N042.55.02.160 W077.54.52.853 N042.55.37.219 W077.56.10.069
                          N042.45.03.846 W078.17.35.511 N042.45.41.629 W078.18.50.082
                          N043.18.50.163 W077.08.12.998 N043.18.35.915 W077.06.43.841
                          N043.08.47.757 W076.45.47.229 N043.08.50.323 W076.44.16.345
                          N043.09.17.502 W076.44.37.976 N043.08.20.583 W076.45.25.592
                          N043.12.48.962 W078.30.01.865 N043.12.38.742 W078.28.31.689
                          N043.12.25.188 W078.28.39.163 N043.13.02.519 W078.29.54.397
                          N043.03.41.856 W078.00.43.895 N043.02.52.642 W077.59.43.006
                          N043.03.25.938 W077.59.29.264 N043.03.08.885 W078.00.57.180
                          N042.55.44.293 W077.55.00.641 N042.54.55.745 W077.56.02.718
                          N042.45.43.354 W078.17.37.252 N042.45.02.120 W078.18.48.326
                          N043.19.07.258 W077.06.57.087 N043.18.18.820 W077.07.59.742
                          N043.02.20.895 W078.03.51.984 N043.01.08.109 W078.03.56.001
                          N043.04.03.384 W077.53.16.690 N043.05.03.235 W077.53.56.439
                          N043.04.41.955 W077.52.52.572 N043.04.24.988 W077.54.20.550
                          N043.01.44.007 W078.03.53.989 N043.01.28.468 W077.54.30.632
                          N043.00.53.140 W077.55.13.570 N043.02.06.251 W077.55.09.384
                          N043.15.21.763 W077.36.23.276 N043.15.21.763 W077.36.23.276
                          N043.15.18.141 W077.36.16.071 N043.15.17.483 W077.36.16.973
                          N043.15.17.483 W077.36.16.973 N043.15.16.166 W077.36.18.776
                          N043.15.16.166 W077.36.18.776 N043.15.16.167 W077.36.21.478
                          N043.15.16.167 W077.36.21.478 N043.15.14.522 W077.36.24.632
                          N043.15.14.522 W077.36.24.632 N043.15.13.534 W077.36.24.635
                          N043.15.13.534 W077.36.24.635 N043.15.13.534 W077.36.21.481
                          N043.15.13.534 W077.36.21.481 N043.15.14.190 W077.36.17.425
                          N043.15.14.190 W077.36.17.425 N043.15.12.212 W077.36.13.824
                          N043.15.12.212 W077.36.13.824 N043.15.11.223 W077.36.13.824
                          N043.15.11.223 W077.36.13.824 N043.15.11.223 W077.36.16.529
                          N043.15.11.223 W077.36.16.529 N043.15.10.567 W077.36.17.430
                          N043.15.10.567 W077.36.17.430 N043.15.10.567 W077.36.19.683
                          N043.15.10.567 W077.36.19.683 N043.15.11.559 W077.36.23.736
                          N043.15.11.559 W077.36.23.736 N043.15.10.571 W077.36.25.087
                          N043.15.10.571 W077.36.25.087 N043.15.09.583 W077.36.25.089
                          N043.15.09.583 W077.36.25.089 N043.15.08.594 W077.36.22.837
                          N043.15.08.594 W077.36.22.837 N043.15.07.277 W077.36.22.839
                          N043.15.07.277 W077.36.22.839 N043.15.05.960 W077.36.23.741
                          N043.15.05.960 W077.36.23.741 N043.15.06.621 W077.36.30.047
                          N043.15.06.621 W077.36.30.047 N043.15.05.964 W077.36.31.850
                          N043.15.05.964 W077.36.31.850 N043.15.04.647 W077.36.31.850
                          N043.15.04.647 W077.36.31.850 N043.15.03.987 W077.36.30.499
                          N043.15.03.987 W077.36.30.499 N043.15.02.670 W077.36.30.951
                          N043.15.02.670 W077.36.30.951 N043.15.01.356 W077.36.31.852
                          N043.15.01.356 W077.36.31.852 N043.15.01.025 W077.36.33.655
                          N043.15.01.025 W077.36.33.655 N043.15.01.357 W077.36.34.105
                          N043.15.01.357 W077.36.34.105 N043.15.00.368 W077.36.35.908
                          N043.15.00.368 W077.36.35.908 N043.14.59.383 W077.36.37.261
                          N043.15.00.372 W077.36.39.963 N043.15.11.892 W077.36.31.844
                          N043.15.11.892 W077.36.31.844 N043.15.12.880 W077.36.31.842
                          N043.15.12.880 W077.36.31.842 N043.15.15.511 W077.36.29.137
                          N043.15.15.511 W077.36.29.137 N043.15.18.473 W077.36.25.981
                          N043.15.18.473 W077.36.25.981 N043.15.19.790 W077.36.24.629
                          N043.15.19.790 W077.36.24.629 N043.15.21.763 W077.36.23.276
                          N043.15.18.141 W077.36.16.071 N043.15.18.141 W077.36.16.071
                          N042.58.46.720 W077.22.27.802 N042.59.19.436 W077.21.06.908
                          N042.59.20.305 W077.22.27.195 N042.58.45.851 W077.21.07.976
                          N043.03.46.053 W078.11.13.546 N043.02.39.792 W078.09.00.541
                          N043.08.09.762 W078.10.11.038 N043.08.18.158 W078.14.16.614
                          N043.11.06.269 W078.14.47.430 N043.10.39.111 W078.10.44.209
                          N043.08.30.292 W078.20.28.607 N043.08.33.369 W078.21.59.478
                          N043.08.09.732 W078.21.47.967 N043.08.56.218 W078.20.43.734
                          N043.00.16.896 W078.15.53.542 N042.59.30.146 W078.19.49.938
                          N043.04.25.069 W078.19.14.943 N043.04.12.249 W078.19.10.765
                          N043.03.38.728 W078.18.59.181 N043.00.26.459 W078.17.53.435
                          N042.59.53.263 W078.17.41.880 N042.59.24.337 W078.17.32.164
                          N042.58.50.484 W078.17.20.159 N042.57.50.006 W078.16.59.819
                          N042.57.50.006 W078.16.59.819 N042.57.16.775 W078.12.34.982
                          N042.57.10.740 W078.11.47.859 N042.57.05.654 W078.11.08.365
                          N042.56.59.932 W078.10.22.593 N042.56.40.185 W078.07.45.101
                          N042.31.09.204 W077.42.29.836 N042.29.49.705 W077.38.51.866
                          N042.29.36.445 W077.38.15.554 N042.29.23.181 W077.37.39.245
